companyKey,company,companyPageUrl,rating,reviewCount,companyDescription,industry,revenue,employees,ceo,founded,website,facebook,twitter,instagram
fa0bb722b0701ad2,icapital,https://www.indeed.com/cmp/Icapital,3.3,8,,,,201-500,,2001,http://www.icapital.ae,,,
18a93531688c714f,Finch Legal,https://www.indeed.com/cmp/Finch-Legal,,0,,,,,,,,,,
bef4e213dea65a7a,Cardiovascular Research Foundation,https://www.indeed.com/cmp/Cardiovascular-Research-Foundation,3.5,15,"The Cardiovascular Research Foundation, headquartered in New York City, has been dedicated to research and education in the broad subspecialty of interventional cardiology and endovascular medicine for over fifteen years.  
 
By establishing the safe use of new technologies and pharmacologic agents, CRF has played a major role in the remarkable advances in survival and quality of life being realized for patients with cardiovascular disease.  
 
Become a part of our team and help CRF serve as a major catalyst in the field of interventional vascular medicine.
",,$25M-$100M,51-200,,1991,https://www.crf.org,,,
457bbe5b7ef02c9c,"Welltower, Inc","https://www.indeed.com/cmp/Welltower,-Inc",3.4,37,"Welltower® Inc. (NYSE: WELL) an S&P 500 company, is the world's preeminent residential wellness and healthcare infrastructure company. Our portfolio of 1,500+ Seniors and Wellness Housing communities is positioned at the intersection of housing, healthcare, and hospitality, creating vibrant communities for mature renters and older adults in the United States, United Kingdom, and Canada. We also seek to support physicians in our Outpatient Medical buildings with the critical infrastructure needed to deliver quality care.

Our real estate portfolio is unmatched, located in highly attractive micro-markets with stunning built environments. Yet, we are an unusual real estate organization as we view ourselves as a product company in a real estate wrapper driven by relationships and unconventional culture.

Through our disciplined approach to capital allocation powered by our data science platform and superior operating results driven by the Welltower Business System, we aspire to deliver long-term compounding of per share growth and returns for our existing investors – our North Star.
",,$5B-$10B,"501-1,000",Shankh Mitra,1970,http://www.welltower.com,https://www.facebook.com/WelltowerInc,https://twitter.com/welltower,
9b7d785cd1a46d9d,SANDSTONE,https://www.indeed.com/cmp/Sandstone,3.5,17,,,,,,,,,,
08be61b3ff3f1ffa,EPIC Insurance Brokers & Consultants,https://www.indeed.com/cmp/Epic-Insurance-Brokers-&-Consultants,3.6,21,,,,"1,001-5,000",,2007,https://www.epicbrokers.com/,https://www.facebook.com/EPICInsuranceBrokersAndConsultants,https://twitter.com/EPIC_Insurance,https://www.instagram.com/epic_brokers_consultants
f1b778b7c3988e14,Clevanoo LLC,https://www.indeed.com/cmp/Clevanoo-LLC,,0,,,,,,,,,,
25af1c4c8848e47f,Child Mind Institute,https://www.indeed.com/cmp/Child-Mind-Institute,3,23,,,$5M-$25M,51-200,,2009,http://www.childmind.org,,,
5046765477879221,Elliot Partnership,https://www.indeed.com/cmp/Elliot-Partnership,,0,,,,,,,,,,
5311e6584db44ff9,Warby Parker,https://www.indeed.com/cmp/Warby-Parker,3.3,411,"Warby Parker was founded with a mission: to inspire and impact the world with vision, purpose, and style.

We’re constantly asking ourselves how we can do more and make a greater impact—and that starts by reimagining everything that a company and industry can be. We want to demonstrate that a business can scale, be profitable, and do good in the world—without charging a premium for it. And we’ve learned that it takes creativity, empathy, and innovation to achieve that goal.

Glasses, sunglasses, contacts, and eye exams—we’ve got your eyes covered. Shop prescription eyewear starting at $95 online or find a store near you at warbyparker.com

Ultimately, we believe in vision for all, which is why for every pair of glasses or sunglasses we sell, a pair of glasses is distributed to someone in need through our Buy a Pair, Give a Pair program. As of 2020, over eight million pairs have been distributed—and we’re only just getting started. Learn more at warbyparker.com/buy-a-pair-give-a-pair.",Consumer Goods and Services,,"1,001-5,000",Neil Blumenthal,2010,http://www.warbyparker.com,https://www.facebook.com/warbyparker,https://twitter.com/warbyparker,
65330d87e2709edb,"Scribd, Inc.","https://www.indeed.com/cmp/Scribd,-Inc.",,0,,,,,,,,,,
ed84f92a43d6cb2e,Point72,https://www.indeed.com/cmp/Point72-7,3.6,15,"Point72 is a leading global alternative investment firm led by Steven A. Cohen. Building on more than 30 years of investing experience, Point72 seeks to deliver superior returns for its investors through fundamental and systematic investing strategies across asset classes and geographies. We aim to attract and retain the industry’s brightest talent by cultivating an investor-led culture and committing to our people’s long-term growth.  For more information, visit www.Point72.com/working-here.",,,"1,001-5,000",Steven A. Cohen,2014,https://www.point72.com,https://www.facebook.com/Point72Careers/,https://x.com/Point72Careers,https://www.instagram.com/point72careers
